,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
620,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10036,10036,1003600,250971853.6,167225723.5,113628532,215894734.4
621,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,19959,19959,1995900,498567243,498272031.9,498271763.9,498557654.6
622,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29863,29863,2986300,747135951.7,717553862.7,695961138.1,745428821.6
623,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,40062,40062,4006200,1000983979,930323623.1,872891612.5,994483020.9
624,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50044,50044,5004400,1248464035,1107246324,989155207.1,1228342527
625,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59759,59759,5975900,1495487703,1450271603,1414847032,1493667436
626,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69822,69822,6982200,1743873940,1629361136,1530919129,1734429696
627,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80119,80119,8011900,2002525069,1884057543,1781126800,1993601852
628,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89831,89831,8983100,2244361142,2092848851,1958940983,2231416649
629,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,100090,100090,10009000,2499991465,2344946187,2209286518,2488128427
630,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110178,110178,11017800,2758866337,2703687034,2654201657,2757286628
631,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,119953,119953,11995300,3000136970,2865747745,2748982935,2992694773
632,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129908,129908,12990800,3252002027,2804710219,2429262761,3177487828
633,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,140239,140239,14023900,3500195631,3486876903,3484032337,3500122522
634,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,149914,149914,14991400,3744546095,3609411537,3484253421,3738138709
635,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160058,160058,16005800,4006016541,3682737204,3400831738,3973840098
636,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,170344,170344,17034400,4260404443,4191990141,4135750912,4258999354
637,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,180403,180403,18040300,4511728300,4191084141,3901949362,4483341038
638,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,190031,190031,19003100,4748987377,3701573130,2929085645,4477068301
639,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200124,200124,20012400,5002909386,4633521898,4303525926,4968956036
640,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10015,10015,1001500,251159492.4,77287789.61,26682315.95,119263028.5
641,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20008,20008,2000800,497236984.9,428557544.8,373943876.5,484754238.4
642,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,30110,30110,3011000,753011791.4,729436695.4,714223665.3,751932656.9
643,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39885,39885,3988500,996751519.6,994591010.6,994747651.1,996719584.9
644,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,49917,49917,4991700,1247506418,1105659454,990768380.4,1227951669
645,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,60068,60068,6006800,1499920816,1229254596,1022182610,1442224765
646,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69954,69954,6995400,1748627672,1696884475,1662381121,1746840131
647,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80144,80144,8014400,1998773748,1868072296,1754072585,1987910572
