,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
52,COA,5,5,10,5,18765,9000,100,90.0,9697.176135349919,1,1,1500,187.5,0,0,0
53,COA,9,6,15,6,38600,10000,300,33.333333333333336,15272.19696049,2,4,6500,950.0,0,0,0
54,CP ,6,4,10,4,32800,10000,100,100.0,13428.328265275615,2,3,10600,9550.0,7750.0,8350.0,8950.0
55,CP ,10,5,15,5,83200,20000,100,200.0,30044.966300530275,2,4,15200,16225.0,0,0,0
56,CPC,6,4,10,4,26600,5000,400,12.5,9739.609848448756,2,3,7500,25500.0,550.0,700.0,2250.0
57,CPC,5,10,15,5,65100,10000,200,50.0,19841.118920060933,4,5,17200,105375.0,81312.5,58237.5,87087.5
58,CPY,6,4,10,4,31700,8300,100,83.0,14012.494424619765,3,2,3900,3212.5,2062.5,1462.5,2162.5
59,CPY,11,4,15,4,29303,5000,100,50.0,9898.040664697231,2,1,3800,2387.5,0,0,0
60,CU ,2,8,10,2,56200,19000,500,38.0,24106.84550081159,1,1,500,3562.5,0,0,0
61,CU ,5,10,15,5,89200,11000,500,22.0,25678.785017987124,1,1,5000,5625.0,0,0,0
62,CUC,5,5,10,5,15700,5000,100,50.0,6692.533152700851,3,1,4300,3862.5,3862.5,3862.5,3862.5
63,CUC,10,5,15,5,23700,5000,100,50.0,7828.793010419933,4,1,5000,2700.0,0,0,0
64,CUE,5,5,10,5,37800,16000,100,160.0,21886.982432487126,3,1,5600,5250.0,0,0,0
65,CUE,7,8,15,7,8124,2000,100,20.0,3202.3369591596697,0,0,0,0.0,0,0,0
66,CYM,2,8,10,2,83225,31000,625,49.6,36590.307801383686,2,1,8000,17125.0,0,0,0
